
PC       BR        IR   BEx_TOS  BEx_S[TOS]  BEx_EA  BEx_(EA)   TOS   S[TOS]      EA       (EA)

HEX      HEX       HEX     HEX   HEX         HEX         HEX     HEX      HEX     HEX       HEX

24      0000      000c      2      0010       NA        NA       3      0000       NA        NA 
25      0000      c047      3      0000      0047        NA      2      0010      0047        NA
26      0000      dc04      2      0010      0004      0010      1      0002      0004      0010
27      0000      dc03      1      0002      0003      0002      0      0004      0003      0002
28      0000      d804      0      0004      0004      0010      1      0010      0004      0010
29      0000      d805      1      0010      0005      001e      2      001e      0005      001e
2a      0000      000c      2      001e       NA        NA       3      0000       NA        NA 
2b      0000      c04c      3      0000      004c        NA      2      001e      004c        NA
2c      0000      dc05      2      001e      0005      001e      1      0010      0005      001e
2d      0000      dc04      1      0010      0004      0010      0      0004      0004      0010
2e      0000      9409      0      0004      0009      0004      0      0008      0009      0004
2f      0000      dc09      0      0008      0009      0008      NA      NA       0009      0008
30      0000      d809      NA      NA       0009      0008      0      0008      0009      0008
31      0000      b006      0      0008      0006      0010      1      0000      0006      0010
15      0000      c415      1      0000      0015        NA      0      0008      0015        NA
16      0000      d801      0      0008      0001      0001      1      0001      0001      0001
17      0000      d802      1      0001      0002      0001      2      0001      0002      0001
18      0000      000c      2      0001       NA        NA       3      0000       NA        NA 
19      0000      c03d      3      0000      003d        NA      2      0001      003d        NA
1a      0000      dc02      2      0001      0002      0001      1      0001      0002      0001
1b      0000      dc01      1      0001      0001      0001      0      0008      0001      0001
1c      0000      d802      0      0008      0002      0001      1      0001      0002      0001
1d      0000      d803      1      0001      0003      0002      2      0002      0003      0002
1e      0000      000c      2      0002       NA        NA       3      0000       NA        NA 
1f      0000      c042      3      0000      0042        NA      2      0002      0042        NA
20      0000      dc03      2      0002      0003      0002      1      0001      0003      0002
21      0000      dc02      1      0001      0002      0001      0      0008      0002      0001
22      0000      d803      0      0008      0003      0002      1      0002      0003      0002
23      0000      d804      1      0002      0004      0010      2      0010      0004      0010
24      0000      000c      2      0010       NA        NA       3      0000       NA        NA 
25      0000      c047      3      0000      0047        NA      2      0010      0047        NA
26      0000      dc04      2      0010      0004      0010      1      0002      0004      0010
27      0000      dc03      1      0002      0003      0002      0      0008      0003      0002
28      0000      d804      0      0008      0004      0010      1      0010      0004      0010
29      0000      d805      1      0010      0005      001e      2      001e      0005      001e
2a      0000      000c      2      001e       NA        NA       3      0000       NA        NA 
2b      0000      c04c      3      0000      004c        NA      2      001e      004c        NA
2c      0000      dc05      2      001e      0005      001e      1      0010      0005      001e
2d      0000      dc04      1      0010      0004      0010      0      0008      0004      0010
2e      0000      9409      0      0008      0009      0008      0      0010      0009      0008
2f      0000      dc09      0      0010      0009      0010      NA      NA       0009      0010
30      0000      d809      NA      NA       0009      0010      0      0010      0009      0010
31      0000      b006      0      0010      0006      0010      1      0000      0006      0010
15      0000      c415      1      0000      0015        NA      0      0010      0015        NA
16      0000      d801      0      0010      0001      0001      1      0001      0001      0001
17      0000      d802      1      0001      0002      0001      2      0001      0002      0001
18      0000      000c      2      0001       NA        NA       3      0000       NA        NA 
19      0000      c03d      3      0000      003d        NA      2      0001      003d        NA
1a      0000      dc02      2      0001      0002      0001      1      0001      0002      0001
1b      0000      dc01      1      0001      0001      0001      0      0010      0001      0001
1c      0000      d802      0      0010      0002      0001      1      0001      0002      0001
1d      0000      d803      1      0001      0003      0002      2      0002      0003      0002
1e      0000      000c      2      0002       NA        NA       3      0000       NA        NA 
1f      0000      c042      3      0000      0042        NA      2      0002      0042        NA
20      0000      dc03      2      0002      0003      0002      1      0001      0003      0002
21      0000      dc02      1      0001      0002      0001      0      0010      0002      0001
22      0000      d803      0      0010      0003      0002      1      0002      0003      0002
23      0000      d804      1      0002      0004      0010      2      0010      0004      0010
24      0000      000c      2      0010       NA        NA       3      0000       NA        NA 
25      0000      c047      3      0000      0047        NA      2      0010      0047        NA
26      0000      dc04      2      0010      0004      0010      1      0002      0004      0010
27      0000      dc03      1      0002      0003      0002      0      0010      0003      0002
28      0000      d804      0      0010      0004      0010      1      0010      0004      0010
29      0000      d805      1      0010      0005      001e      2      001e      0005      001e
2a      0000      000c      2      001e       NA        NA       3      0000       NA        NA 
